University of York. Centre for Conservation Studies,http://id.loc.gov/authorities/names/nr2003028350,
University of York. Centre for Eighteenth Century Studies,,
University of York. Centre for Medieval Studies,http://id.loc.gov/authorities/names/n50068635,
University of York. Department of Archaeology,http://id.loc.gov/authorities/names/n85382299,
University of York. Department of Biology,http://id.loc.gov/authorities/names/n81122766,
University of York. Department of Chemistry,,
University of York. Department of Computer Science,http://id.loc.gov/authorities/names/nb2004301207,
University of York. Department of Economics and Related Studies,http://id.loc.gov/authorities/names/n2001128327,
University of York. Department of Education,http://id.loc.gov/authorities/names/nb2006021830,
University of York. Department of Electronics,,
University of York. Department of English and Related Literature,,
University of York. Department of Health Sciences,,
University of York. Department of History,,
University of York. Department of History of Art,,
University of York. Department of Language and Linguistic Science,http://id.loc.gov/authorities/names/nr2004020119,
University of York. Department of Mathematics,,
University of York. Department of Music,http://id.loc.gov/authorities/names/n2004077606,
University of York. Department of Philosophy,,
University of York. Department of Physics,,
University of York. Department of Politics,http://id.loc.gov/authorities/names/nb2006004602,
University of York. Department of Psychology,,
University of York. Department of Social Policy and Social Work,http://id.loc.gov/authorities/names/nb2011029652,
University of York. Department of Sociology,,
"University of York. Department of Theatre, Film and Television",,
University of York. Environment Department,,
University of York. Institute of Advanced Architectural Studies,http://id.loc.gov/authorities/names/n50068636,
University of York. Post-war Reconstruction and Development Unit,http://id.loc.gov/authorities/names/no95044839,
University of York. The York Management School,http://id.loc.gov/authorities/names/nb2007001032,University of York. Department of Management Studies
